Point Cloud Name,Base Residue Scores,Our Residue Scores
hammer_large.ply,0.0191,0.0165
hammer_small.ply,0.0149,0.0133
knife.ply,0.0195,0.1061
plier.ply,0.0146,0.0269
rake.ply,0.0129,0.03
scraper.ply,0.0076,0.0191
screwdriver_flat.ply,0.012,0.0123
screwdriver_phlips.ply,0.011,0.0234
shovel.ply,0.0178,0.1127
spatula.ply,0.003,0.0169
spatula_small.ply,0.0021,0.0144
torus.ply,0.2096,0.3057
