object,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11
spoon_body,0.2219053267667802,0.2922289590486088,0.9693140623018888,-6.970481899841074e-16,0.1,0.1,0.0112961024529849,1.5709590625887455,0.0189538314065807,0.0188821395131995,0.0045374125615175,0.1246549807413142
spoon_head,0.4711407057598196,0.7982763462932413,0.8542702211870744,2.1698371109329798e-16,0.8262909107581436,0.7828800676353564,0.1648683368598572,1.5717380217843149,0.0140947368263983,0.0252696986912298,0.0356953228578943,-0.0786850015150807
hammer_handle,0.1562242950840662,0.1574786061569383,0.9452697533571168,1.6749834453301223e-16,0.1,0.1,-0.0052783855909158,1.5697238668457685,0.0046760033213415,0.0227243828431295,-0.0011365097279808,0.0809449997914434
hammer_head,0.7003216861900159,0.6882308865224567,0.8659390403855342,0.0099999999999999,0.1,0.1,-0.0409436918216369,1.565754672540547,-0.0415208083676511,-0.0006528046293127,0.0280561614135349,0.2776207918483386
axe_handle,0.2592574424657408,0.2542721685391784,0.9747328080241404,5.111697625489532e-16,0.1,0.1,0.0089843728310659,1.571256477637971,0.0571788472189082,0.0195237855013441,-0.0012451534490541,0.1304446529240536
axe_head,0.5228213372711157,0.689484531780972,0.818766900308356,6.744058182408926e-17,0.1,0.1231709213347715,0.0331037989266707,1.454578621132219,-0.0047976604112939,-0.0324292486447725,-0.0048654917970023,0.1063138502586079
knife_handle,0.3894660707218291,0.3803213346238069,0.9675445263581076,-2.0796480592823875e-16,0.1,0.1,0.012196920064007,1.570927077021332,0.019265324186235,0.0164031662058187,0.0042543507515213,0.1813641362634201
knife_head,0.956390148436428,0.4485476569224851,0.0787828348919798,-1.0274370922086677e-12,0.1,0.1,1.5736586441753475,0.0027543588087421,-1.5808951287755155,0.0257332599133844,-0.0011839434443429,0.0713795056042245
rake_handle,0.0942678744924717,0.0944583944821598,0.9458537375682978,-0.0099999999999999,0.1,0.1,-0.0029719199722541,1.5704532600989975,0.0007723307421281,0.0259057350239449,-0.0005148562432769,0.050102897696408
rake_head,0.2589403268122206,0.5339306609809505,0.7797153763241255,2.1420098234571976e-18,0.1,0.5170485247064932,0.0041700524513387,1.4910645931048108,0.0005469529268833,0.0156048718483859,0.0059436630390777,0.1301602151435038
screwdriver_body,0.3443930274955405,0.3480213580694057,0.9723417832154614,-7.740208077380277e-15,0.1,0.9943976941063007,0.013231402730758,1.5711359415303945,-0.5866551947825686,0.0132408247225065,0.0032409216127882,0.1715450905027217
screwdriver_head,0.1434409445364941,0.1458891612805741,0.9420931650629458,8.733372281252416e-17,0.1,0.1,0.0054687388959236,1.5697092239264812,0.072825856668107,0.0236896978508189,-0.0031453062036532,0.0755073292923573
shovel_head,0.4574745609198422,0.5824307252573566,0.7842926925882738,4.531500060003695e-17,0.1,0.1,0.0189564115122424,1.6702746025855204,-0.010370578070334,0.0517073759634255,-0.0010248135434287,-0.0216074114419767
shovel_handle,0.1739015427421617,0.172332045201213,0.9685859351845876,-1.716058940995053e-16,0.1,0.1,0.0074872146380557,1.5708386398533107,0.0833626021936852,0.0203288629926593,-0.002286409589598,0.0908303758650787
spatula_handle,0.11798120634987284,0.22204348157210846,0.9301550454000499,4.861510586306217e-16,0.1,0.1,-0.007157229243906504,1.570462883344917,-0.016616210534248454,0.021550694654561733,0.0003579166555746567,0.0799691666534602
spatula_head,0.9486977621280968,0.9486942984631382,0.19398042939444796,1.296743568866393e-12,0.1,1.9103434226506797,-1.2064334342719598,0.005770960009624393,1.132851379680691,0.012420314015255089,0.007045802105160118,0.1552737146197707
