object,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11
obj_prism_short_hollow,0.3634514038337504,0.3677646399796416,0.9363991228759182,0.0,0.0052360313499591,0.0113165156641478,-0.0018635126170981,1.55990475157924,-0.0062959873470613,0.0037308155638019,0.0039517939552099,0.0125190901797292
obj_axe_handle,0.0689814691744448,0.1483063393898478,0.9176227427056246,0.0,0.0007068659887254,0.0151851601982963,-5.745319048242247e-05,1.5694995154252682,0.039625491286618,0.0075790711885567,0.0060404349171257,0.0537795006608025
obj_sphere,0.9024338074487148,0.907739002155883,0.9135729835069536,0.0,0.9581626827301134,0.9563523493100656,-0.8747445198154853,2.1812807250748394,-0.498035031382706,0.0010856594151389,0.0035248557678389,0.4530397044187459
obj_disk,0.929378057732569,0.9232922187219602,0.4678848349571588,0.0,0.0002246661943186,0.9895980365409776,1.4290191774818597,-0.0180771340868279,-1.0726169947505064,0.0047556546892694,0.018522550449904,0.4383650810427083
obj_prism_short,0.2698009131534532,0.3798398523467573,0.9462732769352976,0.0,0.0147068388001925,0.0097651586533319,0.0170007724009069,1.555180120135472,0.0021725256351803,0.0151945945003697,0.0218081561623877,0.1713101748668762
obj_prism_long,0.0953277111529613,0.190199904358395,0.9439432797265876,0.0,0.0067513186783696,0.0001981786145687,0.0045555792494624,1.56850083770505,0.0570071893007697,0.0204451678788562,0.0077736763380257,0.0724707961411342
obj_sphere_half_hollow,0.8265698748486165,0.8248104434477463,0.202115042316798,0.0,0.0007364962705052,0.9375934173027112,119.0432671349798,-0.0075636271117954,-119.2502944609798,0.0328364032736092,0.0171784682460231,0.0650688458444496
obj_square,0.7145449973106576,0.7139757346191982,0.4162852773268062,0.0,0.0041366061032733,0.0003028670549268,119.38091298843965,-0.0104098052867344,-115.78740569429506,0.0187230980341918,0.0248416716206447,0.3928391893751344
obj_comb,0.8275396017839264,0.8169159026404325,0.0757927217857557,0.0,0.0012505445828887,0.0023466491877149,-121.35838990975256,-0.0075864023581239,121.34270571537331,0.0092123168763216,0.0103776055022091,0.0682057471851685
obj_cylinder,0.5004962925480652,0.4068205770353316,0.6208642156176738,0.0,0.0010428778596035999,0.00676909496337544,0.09748888142707436,2.062795111540041,0.1651415469861194,0.06284483709255628,0.16418347278870202,-0.28312362432689225
