Generating the reference point cloud
Model name: axe_handle
Jupyter environment detected. Enabling Open3D WebVisualizer.
[Open3D INFO] WebRTC GUI backend enabled.
[Open3D INFO] WebRTCWindowSystem: HTTP handshake server disabled.
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'axe_handle', 'axe_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('axe_handle', 'wooden_screw'), ('axe_head', 'tuna_can')], Total Error: 1.0752, Shape Error: 0.2964, Size Error: 0.4761, Ratio Error: 0.6054
Matches: [('axe_handle', 'plastic_clip'), ('axe_head', 'tuna_can')], Total Error: 1.0853, Shape Error: 0.0604, Size Error: 0.5389, Ratio Error: 0.9721
Matches: [('axe_handle', 'wood_L_shape'), ('axe_head', 'gelatin_box')], Total Error: 1.0857, Shape Error: 0.0800, Size Error: 0.6142, Ratio Error: 0.7830
Matches: [('axe_handle', 'drill_bit'), ('axe_head', 'green_foam')], Total Error: 1.0865, Shape Error: 0.2352, Size Error: 0.5105, Ratio Error: 0.6816
Matches: [('axe_handle', 'tongs'), ('axe_head', 'pliers')], Total Error: 1.0875, Shape Error: 0.1706, Size Error: 0.5969, Ratio Error: 0.6399
Matches: [('axe_handle', 'wood_short_midPoint'), ('axe_head', 'plastic_claw')], Total Error: 1.0988, Shape Error: 0.4626, Size Error: 0.3230, Ratio Error: 0.6263
Matches: [('axe_handle', 'wood_L_shape'), ('axe_head', 'pliers')], Total Error: 1.1048, Shape Error: 0.0232, Size Error: 0.6663, Ratio Error: 0.8308
Matches: [('axe_handle', 'screwdriver_large'), ('axe_head', 'foam_triangle')], Total Error: 1.1091, Shape Error: 0.6698, Size Error: 0.2716, Ratio Error: 0.3354
Matches: [('axe_handle', 'screwdriver_small'), ('axe_head', 'plastic_clip')], Total Error: 1.1290, Shape Error: 0.2402, Size Error: 0.5999, Ratio Error: 0.5779
Matches: [('axe_handle', 'fries'), ('axe_head', 'purple_foam')], Total Error: 1.1324, Shape Error: 0.3759, Size Error: 0.3810, Ratio Error: 0.7510
