Matches: [('hammer_handle', 'wood_L_shape'), ('hammer_head', 'gelatin_box')], Total Error: 1.3453, Shape Error: 0.0802, Size Error: 0.7091, Ratio Error: 1.1119
Matches: [('hammer_handle', 'wood_long_endPoint'), ('hammer_head', 'red_foam')], Total Error: 1.3580, Shape Error: 0.5615, Size Error: 0.3521, Ratio Error: 0.8888
Matches: [('hammer_handle', 'drill_bit'), ('hammer_head', 'gelatin_box')], Total Error: 1.3592, Shape Error: 0.0802, Size Error: 0.6742, Ratio Error: 1.2095
Matches: [('hammer_handle', 'screwdriver_large'), ('hammer_head', 'purple_foam')], Total Error: 1.3700, Shape Error: 0.6460, Size Error: 0.4562, Ratio Error: 0.5357
Matches: [('hammer_handle', 'wooden_screw'), ('hammer_head', 'foam_triangle')], Total Error: 1.3757, Shape Error: 0.5827, Size Error: 0.4639, Ratio Error: 0.6582
Matches: [('hammer_handle', 'screwdriver_large'), ('hammer_head', 'plastic_claw')], Total Error: 1.3777, Shape Error: 0.3974, Size Error: 0.5836, Ratio Error: 0.7934
Matches: [('hammer_handle', 'wood_L_shape'), ('hammer_head', 'pliers')], Total Error: 1.3812, Shape Error: 0.0000, Size Error: 0.8034, Ratio Error: 1.1555
Matches: [('hammer_handle', 'wood_L_shape'), ('hammer_head', 'wood_foam')], Total Error: 1.3831, Shape Error: 0.5399, Size Error: 0.6286, Ratio Error: 0.4292
Matches: [('hammer_handle', 'wood_L_shape'), ('hammer_head', 'wood_foam')], Total Error: 1.3831, Shape Error: 0.5399, Size Error: 0.6286, Ratio Error: 0.4292
Matches: [('hammer_handle', 'tongs'), ('hammer_head', 'green_foam')], Total Error: 1.3857, Shape Error: 0.3814, Size Error: 0.6680, Ratio Error: 0.6725
Matches: [('hammer_handle', 'fries'), ('hammer_head', 'red_foam')], Total Error: 1.3914, Shape Error: 0.2890, Size Error: 0.6173, Ratio Error: 0.9703
Matches: [('hammer_handle', 'drill_bit'), ('hammer_head', 'pliers')], Total Error: 1.3950, Shape Error: 0.0000, Size Error: 0.7685, Ratio Error: 1.2531
Matches: [('hammer_handle', 'drill_bit'), ('hammer_head', 'wood_foam')], Total Error: 1.3969, Shape Error: 0.5399, Size Error: 0.5937, Ratio Error: 0.5268
Matches: [('hammer_handle', 'drill_bit'), ('hammer_head', 'wood_foam')], Total Error: 1.3969, Shape Error: 0.5399, Size Error: 0.5937, Ratio Error: 0.5268
Matches: [('hammer_handle', 'wood_short_midPoint'), ('hammer_head', 'purple_foam')], Total Error: 1.4078, Shape Error: 0.6993, Size Error: 0.3708, Ratio Error: 0.6753
Matches: [('hammer_handle', 'wood_L_shape'), ('hammer_head', 'drill_bit')], Total Error: 1.4106, Shape Error: 0.0000, Size Error: 0.8976, Ratio Error: 1.0260
Matches: [('hammer_handle', 'pliers'), ('hammer_head', 'purple_foam')], Total Error: 1.4125, Shape Error: 0.2652, Size Error: 0.6311, Ratio Error: 1.0325
Matches: [('hammer_handle', 'wood_short_midPoint'), ('hammer_head', 'plastic_claw')], Total Error: 1.4155, Shape Error: 0.4507, Size Error: 0.4983, Ratio Error: 0.9329
Matches: [('hammer_handle', 'tongs'), ('hammer_head', 'gelatin_box')], Total Error: 1.4175, Shape Error: 0.2277, Size Error: 0.6750, Ratio Error: 1.0297
Matches: [('hammer_handle', 'plastic_clip'), ('hammer_head', 'foam_triangle')], Total Error: 1.4183, Shape Error: 0.3467, Size Error: 0.5931, Ratio Error: 0.9571
Matches: [('hammer_handle', 'screwdriver_small'), ('hammer_head', 'foam_triangle')], Total Error: 1.4192, Shape Error: 0.5357, Size Error: 0.5296, Ratio Error: 0.7078
Matches: [('hammer_handle', 'pliers'), ('hammer_head', 'plastic_claw')], Total Error: 1.4202, Shape Error: 0.0166, Size Error: 0.7586, Ratio Error: 1.2901
Matches: [('hammer_handle', 'wooden_screw'), ('hammer_head', 'plastic_clip')], Total Error: 1.4430, Shape Error: 0.3104, Size Error: 0.6899, Ratio Error: 0.8853
Matches: [('hammer_handle', 'wooden_screw'), ('hammer_head', 'plastic_handle')], Total Error: 1.4443, Shape Error: 0.6336, Size Error: 0.6230, Ratio Error: 0.3754
Matches: [('hammer_handle', 'wooden_screw'), ('hammer_head', 'tuna_can')], Total Error: 1.4461, Shape Error: 0.2732, Size Error: 0.6447, Ratio Error: 1.0563
Matches: [('hammer_handle', 'screwdriver_large'), ('hammer_head', 'red_foam')], Total Error: 1.4503, Shape Error: 0.5434, Size Error: 0.5100, Ratio Error: 0.7938
