Generating the reference point cloud
Model name: knife_handle
Model name: knife_head
Jupyter environment detected. Enabling Open3D WebVisualizer.
[Open3D INFO] WebRTC GUI backend enabled.
[Open3D INFO] WebRTCWindowSystem: HTTP handshake server disabled.
Generating the candidate point cloud
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'knife_handle', 'knife_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('knife_handle', 'steel_bowl_small'), ('knife_head', 'metal_hair_clip')], Total Error: 2.3681, Shape Error: 0.8706, Size Error: 0.6022, Ratio Error: 1.7906
Matches: [('knife_handle', 'popcorn'), ('knife_head', 'metal_hair_clip')], Total Error: 2.4051, Shape Error: 1.2153, Size Error: 0.4858, Ratio Error: 1.4079
Matches: [('knife_handle', 'pizza'), ('knife_head', 'metal_hair_clip')], Total Error: 2.4150, Shape Error: 0.9200, Size Error: 0.5974, Ratio Error: 1.7954
Matches: [('knife_handle', 'wood_spread_tooth'), ('knife_head', 'metal_hair_clip')], Total Error: 2.4261, Shape Error: 1.0535, Size Error: 0.5411, Ratio Error: 1.6629
Matches: [('knife_handle', 'fork'), ('knife_head', 'metal_hair_clip')], Total Error: 2.4932, Shape Error: 1.0629, Size Error: 0.6054, Ratio Error: 1.6498
Matches: [('knife_handle', 'steel_bowl'), ('knife_head', 'metal_hair_clip')], Total Error: 2.5610, Shape Error: 1.1401, Size Error: 0.5850, Ratio Error: 1.6717
Matches: [('knife_handle', 'plastic_wahl_clippers'), ('knife_head', 'metal_hair_clip')], Total Error: 2.7253, Shape Error: 1.1827, Size Error: 0.6629, Ratio Error: 1.7594
Matches: [('knife_handle', 'blue_cup'), ('knife_head', 'metal_hair_clip')], Total Error: 2.9226, Shape Error: 0.9113, Size Error: 0.9130, Ratio Error: 2.1967
Matches: [('knife_handle', 'plastic_clip'), ('knife_head', 'white_bread')], Total Error: 3.0387, Shape Error: 0.3721, Size Error: 0.4722, Ratio Error: 4.3889
Matches: [('knife_handle', 'drill_bit'), ('knife_head', 'white_bread')], Total Error: 3.0476, Shape Error: 0.3349, Size Error: 0.5523, Ratio Error: 4.3208
Matches: [('knife_handle', 'tongs'), ('knife_head', 'white_bread')], Total Error: 3.1364, Shape Error: 0.4823, Size Error: 0.6145, Ratio Error: 4.0793
Matches: [('knife_handle', 'wooden_screw'), ('knife_head', 'white_bread')], Total Error: 3.1719, Shape Error: 0.6081, Size Error: 0.5370, Ratio Error: 4.0536
Matches: [('knife_handle', 'screwdriver_small'), ('knife_head', 'white_bread')], Total Error: 3.1759, Shape Error: 0.5611, Size Error: 0.6113, Ratio Error: 4.0071
Matches: [('knife_handle', 'fries'), ('knife_head', 'white_bread')], Total Error: 3.1883, Shape Error: 0.4613, Size Error: 0.4857, Ratio Error: 4.4826
Matches: [('knife_handle', 'wood_L_shape'), ('knife_head', 'white_bread')], Total Error: 3.1927, Shape Error: 0.3349, Size Error: 0.7015, Ratio Error: 4.3125
Matches: [('knife_handle', 'plastic_clip'), ('knife_head', 'metal_triangle')], Total Error: 3.2076, Shape Error: 0.0443, Size Error: 0.5113, Ratio Error: 5.3038
Matches: [('knife_handle', 'drill_bit'), ('knife_head', 'metal_triangle')], Total Error: 3.2164, Shape Error: 0.0071, Size Error: 0.5914, Ratio Error: 5.2357
Matches: [('knife_handle', 'plastic_claw'), ('knife_head', 'white_bread')], Total Error: 3.2212, Shape Error: 0.3515, Size Error: 0.6038, Ratio Error: 4.5318
Matches: [('knife_handle', 'screwdriver_large'), ('knife_head', 'white_bread')], Total Error: 3.2400, Shape Error: 0.7157, Size Error: 0.4852, Ratio Error: 4.0782
Matches: [('knife_handle', 'tongs'), ('knife_head', 'metal_triangle')], Total Error: 3.3053, Shape Error: 0.1545, Size Error: 0.6536, Ratio Error: 4.9942
Matches: [('knife_handle', 'red_cylinder_magnetic'), ('knife_head', 'white_bread')], Total Error: 3.3242, Shape Error: 0.8056, Size Error: 0.4839, Ratio Error: 4.0694
Matches: [('knife_handle', 'pliers'), ('knife_head', 'white_bread')], Total Error: 3.3398, Shape Error: 0.3349, Size Error: 0.6314, Ratio Error: 4.7471
Matches: [('knife_handle', 'wooden_screw'), ('knife_head', 'metal_triangle')], Total Error: 3.3407, Shape Error: 0.2803, Size Error: 0.5761, Ratio Error: 4.9684
Matches: [('knife_handle', 'screwdriver_small'), ('knife_head', 'metal_triangle')], Total Error: 3.3447, Shape Error: 0.2333, Size Error: 0.6504, Ratio Error: 4.9220
Matches: [('knife_handle', 'fries'), ('knife_head', 'metal_triangle')], Total Error: 3.3572, Shape Error: 0.1335, Size Error: 0.5249, Ratio Error: 5.3975
Matches: [('knife_handle', 'wood_L_shape'), ('knife_head', 'metal_triangle')], Total Error: 3.3615, Shape Error: 0.0071, Size Error: 0.7407, Ratio Error: 5.2274
Matches: [('knife_handle', 'plastic_claw'), ('knife_head', 'metal_triangle')], Total Error: 3.3900, Shape Error: 0.0237, Size Error: 0.6430, Ratio Error: 5.4467
Matches: [('knife_handle', 'screwdriver_large'), ('knife_head', 'metal_triangle')], Total Error: 3.4088, Shape Error: 0.3879, Size Error: 0.5243, Ratio Error: 4.9931
Matches: [('knife_handle', 'purple_foam'), ('knife_head', 'white_bread')], Total Error: 3.4243, Shape Error: 0.6001, Size Error: 0.6088, Ratio Error: 4.4309
Matches: [('knife_handle', 'red_cylinder_magnetic'), ('knife_head', 'metal_triangle')], Total Error: 3.4930, Shape Error: 0.4778, Size Error: 0.5231, Ratio Error: 4.9842
Matches: [('knife_handle', 'gelatin_box'), ('knife_head', 'white_bread')], Total Error: 3.4962, Shape Error: 0.4151, Size Error: 0.7098, Ratio Error: 4.7425
Matches: [('knife_handle', 'pliers'), ('knife_head', 'metal_triangle')], Total Error: 3.5087, Shape Error: 0.0071, Size Error: 0.6705, Ratio Error: 5.6620
Matches: [('knife_handle', 'plastic_handle'), ('knife_head', 'white_bread')], Total Error: 3.5587, Shape Error: 0.6953, Size Error: 0.6357, Ratio Error: 4.4554
Matches: [('knife_handle', 'tuna_can'), ('knife_head', 'white_bread')], Total Error: 3.5632, Shape Error: 0.3349, Size Error: 0.7992, Ratio Error: 4.8583
Matches: [('knife_handle', 'purple_foam'), ('knife_head', 'metal_triangle')], Total Error: 3.5931, Shape Error: 0.2723, Size Error: 0.6479, Ratio Error: 5.3457
Matches: [('knife_handle', 'wood_short_midPoint'), ('knife_head', 'white_bread')], Total Error: 3.6047, Shape Error: 0.7691, Size Error: 0.5755, Ratio Error: 4.5202
Matches: [('knife_handle', 'foam_triangle'), ('knife_head', 'white_bread')], Total Error: 3.6073, Shape Error: 0.6444, Size Error: 0.6611, Ratio Error: 4.6036
Matches: [('knife_handle', 'wood_long_endPoint'), ('knife_head', 'white_bread')], Total Error: 3.6115, Shape Error: 0.7339, Size Error: 0.6072, Ratio Error: 4.5410
Matches: [('knife_handle', 'hotdog'), ('knife_head', 'white_bread')], Total Error: 3.6422, Shape Error: 0.8588, Size Error: 0.6093, Ratio Error: 4.3481
Matches: [('knife_handle', 'gelatin_box'), ('knife_head', 'metal_triangle')], Total Error: 3.6650, Shape Error: 0.0874, Size Error: 0.7489, Ratio Error: 5.6574
Matches: [('knife_handle', 'gripper_sleeve'), ('knife_head', 'white_bread')], Total Error: 3.6704, Shape Error: 0.9873, Size Error: 0.5182, Ratio Error: 4.3299
Matches: [('knife_handle', 'foam_roll'), ('knife_head', 'white_bread')], Total Error: 3.6724, Shape Error: 0.7712, Size Error: 0.5974, Ratio Error: 4.6077
Matches: [('knife_handle', 'beans_tin'), ('knife_head', 'white_bread')], Total Error: 3.6985, Shape Error: 0.8876, Size Error: 0.6272, Ratio Error: 4.3675
Matches: [('knife_handle', 'plastic_handle'), ('knife_head', 'metal_triangle')], Total Error: 3.7275, Shape Error: 0.3675, Size Error: 0.6749, Ratio Error: 5.3703
Matches: [('knife_handle', 'tuna_can'), ('knife_head', 'metal_triangle')], Total Error: 3.7321, Shape Error: 0.0071, Size Error: 0.8384, Ratio Error: 5.7732
Matches: [('knife_handle', 'green_foam'), ('knife_head', 'white_bread')], Total Error: 3.7589, Shape Error: 0.5689, Size Error: 0.7644, Ratio Error: 4.8510
Matches: [('knife_handle', 'wood_short_midPoint'), ('knife_head', 'metal_triangle')], Total Error: 3.7735, Shape Error: 0.4413, Size Error: 0.6146, Ratio Error: 5.4351
Matches: [('knife_handle', 'wood_foam'), ('knife_head', 'white_bread')], Total Error: 3.7753, Shape Error: 0.8748, Size Error: 0.6426, Ratio Error: 4.5159
Matches: [('knife_handle', 'wood_foam'), ('knife_head', 'white_bread')], Total Error: 3.7753, Shape Error: 0.8748, Size Error: 0.6426, Ratio Error: 4.5159
Matches: [('knife_handle', 'foam_triangle'), ('knife_head', 'metal_triangle')], Total Error: 3.7761, Shape Error: 0.3166, Size Error: 0.7002, Ratio Error: 5.5185
Matches: [('knife_handle', 'wood_long_endPoint'), ('knife_head', 'metal_triangle')], Total Error: 3.7804, Shape Error: 0.4061, Size Error: 0.6463, Ratio Error: 5.4559
Matches: [('knife_handle', 'hotdog'), ('knife_head', 'metal_triangle')], Total Error: 3.8110, Shape Error: 0.5311, Size Error: 0.6484, Ratio Error: 5.2630
Matches: [('knife_handle', 'plastic_clip'), ('knife_head', 'disc')], Total Error: 3.8386, Shape Error: 0.7240, Size Error: 0.5608, Ratio Error: 5.1076
Matches: [('knife_handle', 'gripper_sleeve'), ('knife_head', 'metal_triangle')], Total Error: 3.8392, Shape Error: 0.6595, Size Error: 0.5574, Ratio Error: 5.2447
Matches: [('knife_handle', 'foam_roll'), ('knife_head', 'metal_triangle')], Total Error: 3.8413, Shape Error: 0.4434, Size Error: 0.6365, Ratio Error: 5.5226
Matches: [('knife_handle', 'drill_bit'), ('knife_head', 'disc')], Total Error: 3.8475, Shape Error: 0.6868, Size Error: 0.6409, Ratio Error: 5.0395
Matches: [('knife_handle', 'beans_tin'), ('knife_head', 'metal_triangle')], Total Error: 3.8673, Shape Error: 0.5598, Size Error: 0.6664, Ratio Error: 5.2824
Matches: [('knife_handle', 'red_foam'), ('knife_head', 'white_bread')], Total Error: 3.8949, Shape Error: 0.4975, Size Error: 0.9328, Ratio Error: 4.9292
Matches: [('knife_handle', 'foam_w_hole'), ('knife_head', 'white_bread')], Total Error: 3.9015, Shape Error: 0.7738, Size Error: 0.7054, Ratio Error: 4.8447
Matches: [('knife_handle', 'green_foam'), ('knife_head', 'metal_triangle')], Total Error: 3.9277, Shape Error: 0.2411, Size Error: 0.8036, Ratio Error: 5.7659
Matches: [('knife_handle', 'tongs'), ('knife_head', 'disc')], Total Error: 3.9363, Shape Error: 0.8342, Size Error: 0.7031, Ratio Error: 4.7980
Matches: [('knife_handle', 'wood_foam'), ('knife_head', 'metal_triangle')], Total Error: 3.9441, Shape Error: 0.5470, Size Error: 0.6817, Ratio Error: 5.4308
Matches: [('knife_handle', 'wood_foam'), ('knife_head', 'metal_triangle')], Total Error: 3.9441, Shape Error: 0.5470, Size Error: 0.6817, Ratio Error: 5.4308
Matches: [('knife_handle', 'red_bowl'), ('knife_head', 'white_bread')], Total Error: 3.9443, Shape Error: 0.8389, Size Error: 0.6955, Ratio Error: 4.8196
Matches: [('knife_handle', 'wooden_screw'), ('knife_head', 'disc')], Total Error: 3.9718, Shape Error: 0.9600, Size Error: 0.6256, Ratio Error: 4.7723
Matches: [('knife_handle', 'screwdriver_small'), ('knife_head', 'disc')], Total Error: 3.9758, Shape Error: 0.9130, Size Error: 0.6999, Ratio Error: 4.7258
