Generating the reference point cloud
Model name: spatula_handle
Jupyter environment detected. Enabling Open3D WebVisualizer.
[Open3D INFO] WebRTC GUI backend enabled.
[Open3D INFO] WebRTCWindowSystem: HTTP handshake server disabled.
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'spatula_handle', 'spatula_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('spatula_handle', 'foam_roll'), ('spatula_head', 'circle_spam')], Total Error: 3.1974, Shape Error: 1.9083, Size Error: 0.4284, Ratio Error: 1.7213
Matches: [('spatula_handle', 'screwdriver_small'), ('spatula_head', 'plastic_green_square')], Total Error: 3.2052, Shape Error: 0.9252, Size Error: 0.5807, Ratio Error: 3.3985
Matches: [('spatula_handle', 'foam_roll'), ('spatula_head', 'disc_small')], Total Error: 3.2145, Shape Error: 1.7585, Size Error: 0.4585, Ratio Error: 1.9948
Matches: [('spatula_handle', 'foam_roll'), ('spatula_head', 'disc_small')], Total Error: 3.2145, Shape Error: 1.7585, Size Error: 0.4585, Ratio Error: 1.9948
Matches: [('spatula_handle', 'wooden_screw'), ('spatula_head', 'circle_spam')], Total Error: 3.2559, Shape Error: 1.7452, Size Error: 0.4683, Ratio Error: 2.0849
Matches: [('spatula_handle', 'wooden_screw'), ('spatula_head', 'disc_small')], Total Error: 3.2730, Shape Error: 1.5955, Size Error: 0.4983, Ratio Error: 2.3585
Matches: [('spatula_handle', 'wooden_screw'), ('spatula_head', 'disc_small')], Total Error: 3.2730, Shape Error: 1.5955, Size Error: 0.4983, Ratio Error: 2.3585
Matches: [('spatula_handle', 'screwdriver_small'), ('spatula_head', 'circle_spam')], Total Error: 3.2806, Shape Error: 1.6982, Size Error: 0.5313, Ratio Error: 2.1023
Matches: [('spatula_handle', 'screwdriver_small'), ('spatula_head', 'disc_small')], Total Error: 3.2977, Shape Error: 1.5484, Size Error: 0.5614, Ratio Error: 2.3759
Matches: [('spatula_handle', 'screwdriver_small'), ('spatula_head', 'disc_small')], Total Error: 3.2977, Shape Error: 1.5484, Size Error: 0.5614, Ratio Error: 2.3759
