Generating the reference point cloud
Model name: screwdriver_head
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'screwdriver_body', 'screwdriver_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('screwdriver_body', 'wood_block_stack'), ('screwdriver_head', 'plastic_clip')], Total Error: 1.3713, Shape Error: 0.2389, Size Error: 0.6771, Ratio Error: 0.9105
Matches: [('screwdriver_body', 'fork'), ('screwdriver_head', 'screwdriver_small')], Total Error: 1.3797, Shape Error: 0.2318, Size Error: 0.6668, Ratio Error: 0.9622
Matches: [('screwdriver_body', 'fork'), ('screwdriver_head', 'plastic_clip')], Total Error: 1.3809, Shape Error: 0.0429, Size Error: 0.7379, Ratio Error: 1.2003
Matches: [('screwdriver_body', 'beans_tin'), ('screwdriver_head', 'wood_L_shape')], Total Error: 1.3824, Shape Error: 0.3417, Size Error: 0.6515, Ratio Error: 0.7783
Matches: [('screwdriver_body', 'red_cylinder_magnetic'), ('screwdriver_head', 'tongs')], Total Error: 1.3878, Shape Error: 0.7351, Size Error: 0.4592, Ratio Error: 0.3870
Matches: [('screwdriver_body', 'beans_tin'), ('screwdriver_head', 'drill_bit')], Total Error: 1.4070, Shape Error: 0.3417, Size Error: 0.6258, Ratio Error: 0.8788
Matches: [('screwdriver_body', 'wood_spread_tooth'), ('screwdriver_head', 'wood_long_endPoint')], Total Error: 1.4079, Shape Error: 0.4026, Size Error: 0.4426, Ratio Error: 1.1255
Matches: [('screwdriver_body', 'wooden_screw'), ('screwdriver_head', 'tongs')], Total Error: 1.4161, Shape Error: 0.7686, Size Error: 0.4872, Ratio Error: 0.3206
Matches: [('screwdriver_body', 'wood_long_midPoint'), ('screwdriver_head', 'screwdriver_large')], Total Error: 1.4337, Shape Error: 0.4979, Size Error: 0.5849, Ratio Error: 0.7019
Matches: [('screwdriver_body', 'screwdriver_large'), ('screwdriver_head', 'wooden_screw')], Total Error: 1.4439, Shape Error: 0.7868, Size Error: 0.4339, Ratio Error: 0.4462
Matches: [('screwdriver_body', 'wood_block_stack'), ('screwdriver_head', 'wood_long_endPoint')], Total Error: 1.4540, Shape Error: 0.6006, Size Error: 0.4446, Ratio Error: 0.8175
Matches: [('screwdriver_body', 'wood_long_midPoint'), ('screwdriver_head', 'wood_short_midPoint')], Total Error: 1.4553, Shape Error: 0.5512, Size Error: 0.4939, Ratio Error: 0.8203
Matches: [('screwdriver_body', 'wood_spread_tooth'), ('screwdriver_head', 'fries')], Total Error: 1.4577, Shape Error: 0.1300, Size Error: 0.7201, Ratio Error: 1.2151
