Generating the reference point cloud
Model name: rake_head
Jupyter environment detected. Enabling Open3D WebVisualizer.
[Open3D INFO] WebRTC GUI backend enabled.
[Open3D INFO] WebRTCWindowSystem: HTTP handshake server disabled.
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'rake_handle', 'rake_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('rake_handle', 'wood_L_shape'), ('rake_head', 'wood_wheel')], Total Error: 1.2700, Shape Error: 0.4419, Size Error: 0.4981, Ratio Error: 0.6599
Matches: [('rake_handle', 'drill_bit'), ('rake_head', 'fries')], Total Error: 1.2838, Shape Error: 0.3308, Size Error: 0.6048, Ratio Error: 0.6963
Matches: [('rake_handle', 'tongs'), ('rake_head', 'foam_triangle')], Total Error: 1.2924, Shape Error: 0.3454, Size Error: 0.5840, Ratio Error: 0.7260
Matches: [('rake_handle', 'wood_L_shape'), ('rake_head', 'plastic_claw')], Total Error: 1.2956, Shape Error: 0.4174, Size Error: 0.5194, Ratio Error: 0.7177
Matches: [('rake_handle', 'drill_bit'), ('rake_head', 'wood_foam')], Total Error: 1.2961, Shape Error: 0.1628, Size Error: 0.5828, Ratio Error: 1.1010
Matches: [('rake_handle', 'drill_bit'), ('rake_head', 'wood_foam')], Total Error: 1.2961, Shape Error: 0.1628, Size Error: 0.5828, Ratio Error: 1.1010
Matches: [('rake_handle', 'wood_L_shape'), ('rake_head', 'drill_bit')], Total Error: 1.3057, Shape Error: 0.4170, Size Error: 0.5305, Ratio Error: 0.7163
Matches: [('rake_handle', 'wooden_screw'), ('rake_head', 'wood_long_endPoint')], Total Error: 1.3096, Shape Error: 0.2913, Size Error: 0.6237, Ratio Error: 0.7891
Matches: [('rake_handle', 'wood_L_shape'), ('rake_head', 'screwdriver_small')], Total Error: 1.3133, Shape Error: 0.1909, Size Error: 0.6090, Ratio Error: 1.0269
Matches: [('rake_handle', 'drill_bit'), ('rake_head', 'wooden_screw')], Total Error: 1.3156, Shape Error: 0.1438, Size Error: 0.5948, Ratio Error: 1.1539
Matches: [('rake_handle', 'tongs'), ('rake_head', 'yellow_foam')], Total Error: 1.3160, Shape Error: 0.6145, Size Error: 0.4628, Ratio Error: 0.4775
Matches: [('rake_handle', 'drill_bit'), ('rake_head', 'red_cylinder_magnetic')], Total Error: 1.3179, Shape Error: 0.2832, Size Error: 0.5199, Ratio Error: 1.0295
Matches: [('rake_handle', 'wooden_screw'), ('rake_head', 'pliers')], Total Error: 1.3205, Shape Error: 0.6903, Size Error: 0.3735, Ratio Error: 0.5135
Matches: [('rake_handle', 'drill_bit'), ('rake_head', 'beans_tin')], Total Error: 1.3247, Shape Error: 0.1356, Size Error: 0.5910, Ratio Error: 1.1961
Matches: [('rake_handle', 'wooden_screw'), ('rake_head', 'plastic_clip')], Total Error: 1.3254, Shape Error: 0.6531, Size Error: 0.3926, Ratio Error: 0.5593
Matches: [('rake_handle', 'drill_bit'), ('rake_head', 'wood_wheel')], Total Error: 1.3264, Shape Error: 0.4419, Size Error: 0.5017, Ratio Error: 0.7655
Matches: [('rake_handle', 'wood_L_shape'), ('rake_head', 'gelatin_box')], Total Error: 1.3343, Shape Error: 0.4123, Size Error: 0.6492, Ratio Error: 0.5458
Matches: [('rake_handle', 'tongs'), ('rake_head', 'fries')], Total Error: 1.3377, Shape Error: 0.4783, Size Error: 0.5899, Ratio Error: 0.5391
Matches: [('rake_handle', 'screwdriver_small'), ('rake_head', 'wood_long_endPoint')], Total Error: 1.3397, Shape Error: 0.2443, Size Error: 0.6755, Ratio Error: 0.8399
Matches: [('rake_handle', 'tongs'), ('rake_head', 'wood_foam')], Total Error: 1.3500, Shape Error: 0.3102, Size Error: 0.5679, Ratio Error: 0.9438
Matches: [('rake_handle', 'tongs'), ('rake_head', 'wood_foam')], Total Error: 1.3500, Shape Error: 0.3102, Size Error: 0.5679, Ratio Error: 0.9438
Matches: [('rake_handle', 'screwdriver_small'), ('rake_head', 'pliers')], Total Error: 1.3506, Shape Error: 0.6432, Size Error: 0.4253, Ratio Error: 0.5642
Matches: [('rake_handle', 'drill_bit'), ('rake_head', 'plastic_claw')], Total Error: 1.3520, Shape Error: 0.4174, Size Error: 0.5230, Ratio Error: 0.8233
Matches: [('rake_handle', 'screwdriver_small'), ('rake_head', 'plastic_clip')], Total Error: 1.3555, Shape Error: 0.6060, Size Error: 0.4444, Ratio Error: 0.6100
Matches: [('rake_handle', 'plastic_clip'), ('rake_head', 'wood_long_endPoint')], Total Error: 1.3583, Shape Error: 0.0553, Size Error: 0.7659, Ratio Error: 1.0743
Matches: [('rake_handle', 'wooden_screw'), ('rake_head', 'wood_short_midPoint')], Total Error: 1.3626, Shape Error: 0.4820, Size Error: 0.5421, Ratio Error: 0.6771
