Generating the reference point cloud
Model name: shovel_head
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'shovel_head', 'shovel_handle'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('shovel_head', 'plastic_handle'), ('shovel_handle', 'wood_L_shape')], Total Error: 1.1262, Shape Error: 0.3604, Size Error: 0.4914, Ratio Error: 0.5488
Matches: [('shovel_head', 'tuna_can'), ('shovel_handle', 'tongs')], Total Error: 1.1273, Shape Error: 0.1474, Size Error: 0.6107, Ratio Error: 0.7385
Matches: [('shovel_head', 'pliers'), ('shovel_handle', 'wooden_screw')], Total Error: 1.1352, Shape Error: 0.2732, Size Error: 0.4821, Ratio Error: 0.7597
Matches: [('shovel_head', 'foam_triangle'), ('shovel_handle', 'wooden_screw')], Total Error: 1.1440, Shape Error: 0.5827, Size Error: 0.3538, Ratio Error: 0.4149
Matches: [('shovel_head', 'purple_foam'), ('shovel_handle', 'plastic_clip')], Total Error: 1.1522, Shape Error: 0.3024, Size Error: 0.4729, Ratio Error: 0.7539
Matches: [('shovel_head', 'green_foam'), ('shovel_handle', 'drill_bit')], Total Error: 1.1526, Shape Error: 0.2340, Size Error: 0.4937, Ratio Error: 0.8496
Matches: [('shovel_head', 'green_foam'), ('shovel_handle', 'wood_L_shape')], Total Error: 1.1573, Shape Error: 0.2340, Size Error: 0.5452, Ratio Error: 0.7562
Matches: [('shovel_head', 'fries'), ('shovel_handle', 'drill_bit')], Total Error: 1.1612, Shape Error: 0.1264, Size Error: 0.5924, Ratio Error: 0.8849
Matches: [('shovel_head', 'purple_foam'), ('shovel_handle', 'screwdriver_small')], Total Error: 1.1644, Shape Error: 0.4913, Size Error: 0.4301, Ratio Error: 0.4861
Matches: [('shovel_head', 'fries'), ('shovel_handle', 'wood_L_shape')], Total Error: 1.1660, Shape Error: 0.1264, Size Error: 0.6438, Ratio Error: 0.7915
Matches: [('shovel_head', 'gelatin_box'), ('shovel_handle', 'tongs')], Total Error: 1.1680, Shape Error: 0.2277, Size Error: 0.5908, Ratio Error: 0.6991
Matches: [('shovel_head', 'pliers'), ('shovel_handle', 'plastic_clip')], Total Error: 1.1733, Shape Error: 0.0372, Size Error: 0.5971, Ratio Error: 1.0780
Matches: [('shovel_head', 'plastic_handle'), ('shovel_handle', 'tongs')], Total Error: 1.1795, Shape Error: 0.5078, Size Error: 0.4493, Ratio Error: 0.4448
Matches: [('shovel_head', 'foam_triangle'), ('shovel_handle', 'plastic_clip')], Total Error: 1.1821, Shape Error: 0.3467, Size Error: 0.4688, Ratio Error: 0.7332
Matches: [('shovel_head', 'plastic_clip'), ('shovel_handle', 'fries')], Total Error: 1.1836, Shape Error: 0.1636, Size Error: 0.5786, Ratio Error: 0.8830
Matches: [('shovel_head', 'pliers'), ('shovel_handle', 'screwdriver_small')], Total Error: 1.1855, Shape Error: 0.2262, Size Error: 0.5542, Ratio Error: 0.8102
Matches: [('shovel_head', 'drill_bit'), ('shovel_handle', 'wooden_screw')], Total Error: 1.1942, Shape Error: 0.2732, Size Error: 0.5817, Ratio Error: 0.6786
Matches: [('shovel_head', 'foam_triangle'), ('shovel_handle', 'screwdriver_small')], Total Error: 1.1943, Shape Error: 0.5357, Size Error: 0.4259, Ratio Error: 0.4654
Matches: [('shovel_head', 'plastic_clip'), ('shovel_handle', 'wood_long_endPoint')], Total Error: 1.1953, Shape Error: 0.4361, Size Error: 0.3537, Ratio Error: 0.8109
Matches: [('shovel_head', 'green_foam'), ('shovel_handle', 'tongs')], Total Error: 1.2106, Shape Error: 0.3814, Size Error: 0.5031, Ratio Error: 0.6523
Matches: [('shovel_head', 'fries'), ('shovel_handle', 'tongs')], Total Error: 1.2193, Shape Error: 0.2738, Size Error: 0.6018, Ratio Error: 0.6875
Matches: [('shovel_head', 'wood_L_shape'), ('shovel_handle', 'drill_bit')], Total Error: 1.2230, Shape Error: 0.0000, Size Error: 0.7467, Ratio Error: 0.9526
Matches: [('shovel_head', 'tuna_can'), ('shovel_handle', 'wooden_screw')], Total Error: 1.2295, Shape Error: 0.2732, Size Error: 0.5756, Ratio Error: 0.7614
Matches: [('shovel_head', 'drill_bit'), ('shovel_handle', 'plastic_clip')], Total Error: 1.2323, Shape Error: 0.0372, Size Error: 0.6967, Ratio Error: 0.9969
Matches: [('shovel_head', 'gripper_sleeve'), ('shovel_handle', 'drill_bit')], Total Error: 1.2341, Shape Error: 0.6523, Size Error: 0.3191, Ratio Error: 0.5253
Matches: [('shovel_head', 'gripper_sleeve'), ('shovel_handle', 'wood_L_shape')], Total Error: 1.2389, Shape Error: 0.6523, Size Error: 0.3705, Ratio Error: 0.4319
Matches: [('shovel_head', 'drill_bit'), ('shovel_handle', 'screwdriver_small')], Total Error: 1.2445, Shape Error: 0.2262, Size Error: 0.6538, Ratio Error: 0.7290
Matches: [('shovel_head', 'plastic_clip'), ('shovel_handle', 'screwdriver_large')], Total Error: 1.2490, Shape Error: 0.4180, Size Error: 0.4915, Ratio Error: 0.6788
Matches: [('shovel_head', 'wood_foam'), ('shovel_handle', 'drill_bit')], Total Error: 1.2609, Shape Error: 0.5399, Size Error: 0.4020, Ratio Error: 0.6380
Matches: [('shovel_head', 'wood_foam'), ('shovel_handle', 'drill_bit')], Total Error: 1.2609, Shape Error: 0.5399, Size Error: 0.4020, Ratio Error: 0.6380
Matches: [('shovel_head', 'wood_foam'), ('shovel_handle', 'wood_L_shape')], Total Error: 1.2656, Shape Error: 0.5399, Size Error: 0.4535, Ratio Error: 0.5446
Matches: [('shovel_head', 'wood_foam'), ('shovel_handle', 'wood_L_shape')], Total Error: 1.2656, Shape Error: 0.5399, Size Error: 0.4535, Ratio Error: 0.5446
Matches: [('shovel_head', 'tuna_can'), ('shovel_handle', 'plastic_clip')], Total Error: 1.2676, Shape Error: 0.0372, Size Error: 0.6906, Ratio Error: 1.0797
